ind_name, fitness,scaled_energy,b/c,temp,strand_set
1730290744842-86,0.7006454956518272,0.38478410426466825,0.7092172364160887,277,a a,a a*,a* a,b b*,b* a*,b* b 
1730313782062-27174,0.48681031383082013,0.32060343951771064,0.4417084484051551,338,a a*,a* a,a* b,b a*,b b,b b* 
1730290751377-96,0.6651631902850291,0.4753555640919675,0.8498817286717705,277,a a,a a*,a b*,a* a*,b b*,b* b 
1730290800867-173,0.6945745764857606,0.32153580470168514,0.6990477556402802,277,a a,a a*,a b*,b b*,b* b 
1730338789855-55888,0.5165371095575804,0.04992580416763992,0.4023711974822953,348,a a*,a b*,b b 
1730295806029-6305,0.5261813969495083,0.6456166664846014,0.875846973131028,298,a a*,b a*,b b,b b*,b* b,b* b* 
1730290724955-25,0.5244101743850262,0.0940208666148274,0.5990852670215733,308,a a*,a* a,b a,b b,b b* 
1730297022586-7746,0.508166141387144,0.45015775091463217,0.4575194124774931,328,a a,a a*,a* a,a* b*,b b*,b* a* 
1730290728090-51,0.5074473074997659,0.06258213722613078,0.44345497740205875,338,a b*,b b,b* a* 
1730290725075-26,0.5316671094391667,0.6889964877411459,0.4873342385230217,298,a b*,a* a,b a,b b,b* a,b* b 
1730290732180-66,0.5484934632655035,0.2786562113089135,0.819866020998095,298,a a*,a* b,b b,b b*,b* b,b* b* 
1730290732180-66,0.48619074873581686,0.23350908838480877,0.880680323546578,308,a a*,a* b,b b,b b*,b* b,b* b* 
1730290726095-35,0.5018518260511806,0.2866089180676918,0.39541875750938593,338,a b*,a* b,b b,b b*,b* b,b* b* 
1730301720368-13239,0.5044119466691408,0.17262421988290605,0.45634503249437686,338,a b*,b a*,b* a* 
1730295994458-6528,0.5414400465832031,0.1094057983707836,0.5154502654509521,298,a b*,a* a,b a,b a*,b b,b* b 
1730290728090-51,0.5672979237572684,0.17166234908380157,0.6907339696134936,298,a b*,a* b*,b b,b b*,b* b 
1730290856476-259,0.7074838907682575,0.26403008885489676,0.5350801392636262,277,a a,a* a,b a*,b* a,b* a*,b* b 
1730290725075-26,0.4875289725058604,0.5728348954511557,0.7743150950840094,318,a a*,a b,b a,b b,b b*,b* b* 
1730294917039-5277,0.5230681074379496,0.529844682959805,0.699269112036417,308,a a*,a* b,b a,b a*,b b,b b* 
1730290726836-41,0.7045683895287694,0.4304841299843703,0.4960670783791177,277,a a,a b*,a* a,b a,b* a,b* b 
1730291861735-1650,0.47954284342587683,0.03853539160088492,0.30655569905933466,338,a b,a b*,a* a,a* b*,b a,b b* 
1730290728090-51,0.485460439276749,0.08616220265706419,0.7522165748716554,328,a a*,a* a*,a* b,b a*,b b,b b* 
1730295806029-6305,0.5005411769249892,0.3176830594990986,0.5711549773191498,328,a a*,a* b,a* b*,b b,b b*,b* b 
1730297022586-7746,0.48679628670827446,0.45015775091463217,0.7519761296005166,328,a a*,a b,a* b,b a*,b b,b b* 
1730295994458-6528,0.518921907846085,0.08761629003080745,0.5580541228577656,308,a a,a b*,a* a,b b,b b* 
1730290856476-259,0.5017082294144594,0.04610722181433063,0.6052016511133971,328,a a*,b a,b a*,b b,b b*,b* a* 
1730290728090-51,0.5024832973588004,0.08616220265706419,0.5878481017791547,328,a a*,a b*,b a*,b b,b b*,b* a* 
1730290981764-466,0.5253873442945417,0.35669519843565844,0.6634400584445072,308,a a*,a* a,b b,b b*,b* b 
1730291246693-898,0.4880624256022219,0.4178866014447139,0.6404555224116519,328,a a*,a* b,b a*,b b*,b* b,b* b* 
1730290966640-439,0.6919530335651908,0.2445002480811659,0.69090822561849,277,a* a,b a,b a*,b b*,b* a*,b* b 
1730295806029-6305,0.527066814123679,0.6456166664846014,0.8252699246918265,298,a a*,b a,b b,b b*,b* b,b* b* 
1730290732180-66,0.5699961465075716,0.2786562113089135,0.6890196723021855,298,a a,a a*,b b,b b*,b* b,b* b* 
1730293343736-3418,0.5017705330390557,0.2887952177109894,0.37208717858928275,328,a b*,a* a,b a,b b,b b*,b* a 
1730299824263-11020,0.6912806336728019,0.821251973220493,0.49976913016337277,277,a b*,a* a,a* b*,b a,b* a*,b* b 
1730290987079-475,0.5175779207915953,0.3544122609346991,0.5407770364648952,318,a b,a* a,a* b,b b,b b*,b* b 
1730290745597-87,0.5663882782809795,0.39932872722895885,0.5534623338571909,298,a a,a b*,a* a,b a,b b*,b* b 
1730290728090-51,0.5229788268252867,0.14094095116115213,0.6585036944254735,308,a a*,a b*,a* a,b b,b b* 
1730290728358-52,0.5110504144095852,0.27161374176006997,0.48331662258325675,308,a* a,a* b*,b a,b b,b b*,b* a 
1730290961814-430,0.5239595339839059,0.1954890452310778,0.8751551313490548,298,a a*,a* b,b b,b b*,b* b,b* b* 
1730290864900-272,0.48685094484776126,0.2834158804971986,0.8160274181158321,318,a a,a a*,a b,b a*,b b,b b* 
1730295806029-6305,0.4880743508975624,0.48591861567058287,0.7710097223332968,318,a a*,a b,a* b,a* b*,b b,b b* 
1730290966640-439,0.6758216062424356,0.2445002480811659,0.830585453467808,277,a a*,a b*,b a*,b b*,b* a*,b* b 
1730291246693-898,0.49027143695214115,0.4178866014447139,0.30798670472662826,328,a b*,a* a,a* b*,b a,b b,b* a 
1730290961814-430,0.49509059943834827,0.0836694712753714,0.629954130608535,328,a a,a a*,b a,b b,b b*,b* b 
1730290966640-439,0.4993012413245817,0.0486184110207399,0.4808730972820561,308,a a*,a* b*,b a,b b,b* a 
1730297022586-7746,0.49674665944162283,0.45015775091463217,0.6491622239897006,328,a a*,b a,b a*,b b,b b* 
1730297022586-7746,0.4999807637248157,0.45015775091463217,0.5751026314317463,328,a a,a a*,b a,b a*,b b,b b* 
1730295806029-6305,0.5552408891836801,0.6456166664846014,0.5557063353710914,298,a a*,a* a,a* b*,b b*,b* a,b* b 
1730290800867-173,0.6552906826222836,0.32153580470168514,0.8183350526949021,277,a a,a a*,a b*,b b* 
1730290961814-430,0.5373933660138804,0.1954890452310778,0.8289860183277693,298,a a*,a* b,b b,b b*,b* a*,b* b 
1730290724846-24,0.5755150229165983,0.5200721068983051,0.6548903769347039,298,a a*,a b,a* b*,b b,b b*,b* b 
1730291066721-603,0.4878394752030921,0.2138644059911218,0.8627895755945418,308,a a*,a* b,b a*,b b,b b*,b* b* 
1730291066721-603,0.523921844282371,0.2138644059911218,0.5699869063755155,308,a a*,a* b*,b a,b b,b b*,b* a 
1730295806029-6305,0.48563081500072597,0.3176830594990986,0.7543819846579042,328,a a*,a b,b a,b a*,b b,b b* 
1730290723232-10,0.5694019052537832,0.5818452197136627,0.7355920127295572,298,a a,a a*,a b*,b a*,b b*,b* b 
1730290725075-26,0.5649502058489225,0.6889964877411459,0.6307760528833033,298,a b,a* b*,b b,b b*,b* b,b* b* 
1730290728358-52,0.5248895666943515,0.27161374176006997,0.5983144133405599,308,a a*,a* a,b a,b b,b b*,b* a 
1730338789855-55888,0.5084831543677621,0.04992580416763992,0.37202680593694104,348,a a*,a b*,b a,b b 
1730293261698-3324,0.4882144079508485,0.20500669993536358,0.8144050494543721,318,a a*,a* b,b a,b a*,b b,b b* 
1730290726095-35,0.6908936772381115,0.6460243568833957,0.7646457358076331,277,a* a,b a*,b b,b b*,b* a*,b* b 
1730290726095-35,0.6922271568044303,0.6460243568833957,0.7153523860172999,277,a a,a a*,a* a,b b,b* a*,b* b 
1730297022586-7746,0.49283534764274267,0.45015775091463217,0.29752300863279096,328,a b*,a* a,a* b*,b b,b* a 
1730299824263-11020,0.7027021015891808,0.821251973220493,0.553453871135563,277,a b,a b*,a* a,b* a,b* a*,b* b 
1730291861735-1650,0.530089909467468,0.39057204631230047,0.8533544759292137,298,a a*,b a,b a*,b b,b b*,b* b 
1730290728945-53,0.7059996970622897,0.6944319629119903,0.6257997128099904,277,a a,a* a,b b*,b* a,b* a*,b* b 
1730295994458-6528,0.5106913123815547,0.05132752904387736,0.44245314667742636,328,a a,a b*,a* a,b b,b b* 
1730290726836-41,0.5252529352052998,0.25981051927567606,0.4849397806802155,298,a a,a b*,a* a,b a,b* a,b* b 
1730290724955-25,0.51699958020179,0.04636816794622122,0.498051017951035,318,a a*,a* a,b a,b b,b b*,b* a 
1730294917039-5277,0.5024683397139456,0.4613497969705776,0.3601609988674113,318,a* a,a* b*,b a,b b,b* a,b* a* 
1730290751377-96,0.5161406828178272,0.32097821438993607,0.49672045433315426,298,a a,a b,a b*,a* a,a* b*,b b 
1730295994458-6528,0.7158899820174791,0.1633618378401276,0.5383730444562596,277,a a,a b*,a* a,b* a,b* a*,b* b 
1730290724846-24,0.5578239796948021,0.5200721068983051,0.5557063353710914,298,a a*,a* a,a* b*,b b*,b* a,b* b 
1730291861735-1650,0.7053121003828356,0.5300411298105328,0.8074448596331407,277,a a,a a*,a b*,a* a,b b*,b* b 
1730290724955-25,0.5216491642399522,0.0940208666148274,0.6881164051861065,308,a a*,a* a,a* b,b b,b b* 
1730297022586-7746,0.49299962569520384,0.5407512162399017,0.7602022589453836,318,a a*,a* b,b b,b b*,b* a*,b* b 
1730291861735-1650,0.5146453850947454,0.11749475323410584,0.4282811438530808,328,a b*,a* a,a* b*,b a*,b b*,b* b 
1730295994458-6528,0.5108614746968664,0.05132752904387736,0.4142987234356139,328,a a,a b*,a* a,b b,b b*,b* a 
1730290725075-26,0.5043875487388714,0.08257280775764446,0.35865144571666185,348,a b*,a* a,b b,b b*,b* a,b* b 
1730291066721-603,0.5085723949684559,0.1715781309595998,0.41974335926940454,318,a a,a a*,a* a,a* b*,b b,b* a 
1730293343736-3418,0.5101442263754618,0.2887952177109894,0.4418614658552513,328,a b*,a* a,a* a*,b a*,b b*,b* b 
1730290791371-158,0.4898331191341093,0.3785073048667695,0.7755877741548731,318,a a*,a* a*,a* b,b a,b b,b b* 
1730290728090-51,0.5675218213359082,0.17166234908380157,0.5921436045052229,298,a b*,a* b*,b a*,b b,b b*,b* b 
1730291066721-603,0.5178979679420436,0.1715781309595998,0.5565377208396558,318,a a*,a b*,a* a,b b,b b* 
1730290728945-53,0.7017066136977669,0.6944319629119903,0.49101490583438634,277,a a,a* a,a* b*,b* a,b* a*,b* b 
1730299824263-11020,0.6693208895521389,0.821251973220493,0.8194354599209821,277,a a*,a* a,a* a*,b a*,b b*,b* b 
1730290751377-96,0.6962044460089011,0.4753555640919675,0.5614716952371828,277,a b,a b*,a* a,b b*,b* a*,b* b 
1730290725075-26,0.4848228669507945,0.6889964877411459,0.43132429411751017,298,a* a,a* b*,b a,b* a,b* b* 
1730290751377-96,0.7013510331231143,0.4753555640919675,0.4883718310686695,277,a b,a b*,a* a,b* a,b* a*,b* b 
1730290792214-159,0.508932320195687,0.5822819256059418,0.8750193607801606,298,a a*,b a*,b b*,b* b,b* b* 
1730290987079-475,0.5115113376888063,0.19649988346196287,0.46248083917463834,328,a b,a* a,a* b*,b a*,b b*,b* b 
1730291246693-898,0.487007519195786,0.4178866014447139,0.6912824062618368,328,a a*,b a,b a*,b b*,b* b,b* b* 
1730299824263-11020,0.7051799029868316,0.821251973220493,0.7365688209643078,277,a a,a b*,a* a,b b,b b*,b* b 
1730290725075-26,0.5073488603321934,0.5042354001720863,0.5111924568614648,328,a a*,a b*,b a,b a*,b b* 
1730290791371-158,0.48739572690788935,0.3785073048667695,0.822396840596721,318,a a*,a* a*,a* b,b a*,b b,b b* 
1730290744842-86,0.683045293843276,0.38478410426466825,0.7579455360081093,277,a a*,a* a,b b*,b* a*,b* b 
1730290724955-25,0.5180179912940587,0.04636816794622122,0.5975371105464846,318,a a,a a*,a* a,b b,b b* 
1730290725320-28,0.4844688478584752,0.5124403627895234,0.8269130106338581,308,a a,a a*,a* a*,b b,b b*,b* b* 
1730290864900-272,0.5015257339419958,0.2112804265211776,0.5820579836240927,328,a a*,a* b,b a*,b b*,b* b 
1730290723232-10,0.518135877811687,0.3157058647567646,0.6367820769645365,318,a a,a a*,a b*,b b,b b*,b* b 
1730290732180-66,0.551066015882257,0.2786562113089135,0.7802190132602003,298,a a*,a* b,b b*,b* b,b* b* 
1730290981764-466,0.5691591362699256,0.43315698082272097,0.6089481934895823,298,a a,a a*,a* b*,b b,b b*,b* b 
1730290981764-466,0.6971819455450549,0.5851457444823123,0.7738750861676387,277,a a*,a b*,a* a,b a*,b b*,b* b 
1730295994458-6528,0.6786749207137891,0.1633618378401276,0.48582005879557444,277,a b,a b*,a* a,a* a*,b* a,b* b 
1730290791371-158,0.4956214406069023,0.27137612726177596,0.6682064686481012,328,a a,a a*,b a*,b b,b b*,b* b 
1730290864900-272,0.48138694944703697,0.2112804265211776,0.8283230268121333,328,a a*,b a*,b b,b b*,b* a*,b* b 
1730297022586-7746,0.5097675006379876,0.6052949852372193,0.8197154161394163,308,a a*,a* b,b b,b b*,b* b 
1730297022586-7746,0.5247123391387192,0.6052949852372193,0.7768575145382705,308,a a*,a b*,a* b,b b,b b*,b* b 
1730290864900-272,0.7042054378210163,0.7416344485946446,0.544934141800019,277,a a,a* a,b b,b* a,b* a*,b* b 
1730290732180-66,0.5606187574096514,0.2786562113089135,0.6257329903618228,298,a a,a b*,a* b*,b b*,b* b 
1730290725075-26,0.48690118474970345,0.5042354001720863,0.7250532228241876,328,a a*,a b,a* b,b a,b b,b b* 
1730295806029-6305,0.5250605243824737,0.5816224414372536,0.7241121299454077,308,a a*,a b*,b a*,b b,b b*,b* b 
1730291861735-1650,0.7108896405499805,0.5300411298105328,0.7035799871962365,277,a a,a b*,a* a,b b*,b* a,b* b 
1730290725075-26,0.524989183132564,0.6889964877411459,0.8648649127517121,298,a a,a a*,b a*,b b,b b*,b* b 
1730290725075-26,0.5104648621136112,0.6338035195400803,0.7572507708359024,308,a a*,a b*,b b,b b*,b* b 
1730290966640-439,0.5012028627341408,0.02183025134780803,0.34907284697889795,328,a a*,a b*,a* a,a* b,a* b*,b b 
1730291861735-1650,0.6993168184098344,0.5300411298105328,0.6070499771028832,277,a b*,a* a,b a*,b b*,b* a,b* b 
1730290726095-35,0.5129981290626664,0.36772930491588435,0.37002808210351995,328,a b*,a* a,a* b*,b b*,b* a,b* b* 
1730297022586-7746,0.5754784660428596,0.6623797634776059,0.7380450786323369,298,a a*,a b*,a* b,b b,b b*,b* b 
1730290725320-28,0.6955315394646658,0.7549315520880646,0.7156314555575141,277,a a,a a*,a b*,a* a,b b,b* b 
1730291832165-1614,0.5216623564953995,0.4063762346947763,0.694815306056153,308,a a*,b b,b b* 
1730290751377-96,0.5116766840187197,0.17333506248735897,0.4514335263256031,328,a b,a b*,a* a,b a,b b*,b* a* 
1730290725075-26,0.5636941206244318,0.6889964877411459,0.756996868036624,298,a a*,a b*,b b,b b*,b* b 
1730290724955-25,0.5175288307413156,0.04636816794622122,0.5524631985939286,318,a a*,a* a,b a*,b b,b b*,b* a 
1730290981764-466,0.5136851989896392,0.28729821559322727,0.5822455246551079,318,a a,a a*,a b*,b b,b b*,b* b* 
1730293261698-3324,0.5226195073785702,0.46138793389799937,0.6591715717013222,308,a a*,b a,b a*,b b,b b* 
1730290728358-52,0.5635501923902426,0.3590926109522434,0.699222885347589,298,a b*,b a*,b b,b b*,b* b,b* b* 
1730295994458-6528,0.5295057335881166,0.1094057983707836,0.49907939034298565,298,a b*,a* a,b a,b a*,b* a,b* b 
1730293343736-3418,0.49131676223397275,0.2887952177109894,0.30848241342535887,328,a b,a* a,a* b,a* b*,b b,b* a 
1730372843117-94063,0.5996490559994858,0.12425810555638418,0.6738304216750571,277,a a,a a*,a b 
1730299824263-11020,0.7005585101081069,0.821251973220493,0.622608138904051,277,a a,a b*,a* a,b b*,b* b 
1730291246693-898,0.5176261971893218,0.5694558910480139,0.6430583703030176,308,a a*,b a,b a*,b b,b b*,b* a* 
1730290966640-439,0.6979410258233899,0.2445002480811659,0.6161075766721535,277,a a,a* a,b a*,b b,b* a*,b* b 
1730290966640-439,0.6826237146222244,0.2445002480811659,0.7740289080706606,277,a a,a a*,a b*,b b*,b* a*,b* b 
1730290751377-96,0.6992853011124993,0.4753555640919675,0.6817292243089184,277,a a,a b*,b b*,b* a,b* a*,b* b 
1730291246693-898,0.5111766596516557,0.4178866014447139,0.37377874690761453,328,a a,a b*,a* a,a* b*,b b*,b* a 
1730290745597-87,0.5384860071503248,0.39932872722895885,0.4942521614084295,298,a a,a b*,a* a,b a,b* a*,b* b 
1730290966640-439,0.7041110372138304,0.2445002480811659,0.6279038988808473,277,a b*,a* a,b a*,b b*,b* a*,b* b 
1730295806029-6305,0.570531379071166,0.6456166664846014,0.6754402005553076,298,a a*,a b*,b a*,b b,b b*,b* b 
1730373350439-94911,0.5132394823650922,0.06450701493507549,0.4119110673781483,348,a a*,a b*,b* a* 
1730290856476-259,0.7020397342377571,0.26403008885489676,0.6372913698963364,277,a a,a b,a b*,a* a,b b*,b* b 
1730290966640-439,0.7050337242886483,0.2445002480811659,0.5405319657144589,277,a b*,a* a,b a*,b* a,b* a*,b* b 
1730291246693-898,0.5039922081289366,0.5694558910480139,0.4766396684364959,308,a a,a b,a b*,a* a,b b,b* a 
1730290792214-159,0.5252094307615713,0.5822819256059418,0.8157683099995652,298,a a*,b a,b b,b b*,b* b,b* b* 
1730290732180-66,0.5123026688983238,0.18951823958377187,0.6501391872547773,318,a a,a a*,b b,b b*,b* b,b* b* 
1730290981764-466,0.5695211685128282,0.43315698082272097,0.6831232600580487,298,a a*,a* b*,b a*,b b,b b*,b* b 
1730372843117-94063,0.653459556983303,0.12425810555638418,0.6890303713616973,277,a a,a a*,a b,b* b 
1730297022586-7746,0.5059455250285672,0.5407512162399017,0.7031222134132169,318,a a*,a* b,b a*,b b*,b* b 
1730290725075-26,0.5521195086053181,0.6889964877411459,0.7023948175845772,298,a a*,a b*,a* a*,b b*,b* b 
1730372843117-94063,0.677080283084837,0.12425810555638418,0.6223764833080556,277,a a,a a*,a b,a b*,b* b 
1730290751377-96,0.6966274857457212,0.4753555640919675,0.6127605558223095,277,a a,a* a,b b*,b* a*,b* b 
1730290728945-53,0.511081632715325,0.5420163172134359,0.8780119445722607,298,a a,a a*,a b*,b a*,b b*,b* b 
1730295806029-6305,0.4846067420507383,0.48591861567058287,0.813275279594871,318,a a*,b a*,b b,b b*,b* b* 
1730295806029-6305,0.4985313917713898,0.5816224414372536,0.5206290375611571,308,a a*,a* a,a* b*,b b,b* b 
1730372843117-94063,0.6536911939784141,0.12425810555638418,0.5607929457162987,277,a a,a a*,a b,a* a 
1730290864900-272,0.4818030964218075,0.2112804265211776,0.7632021129624555,328,a a,a a*,a b,b a*,b b,b b* 
1730299824263-11020,0.6949291392079644,0.821251973220493,0.7549917740804366,277,a a,a b*,a* a,a* b,b b*,b* b 
1730290728358-52,0.524300022146632,0.27161374176006997,0.5547892649322543,308,a b*,a* a,b a,b b,b b*,b* b 
1730295806029-6305,0.4881104363547787,0.3176830594990986,0.7250532228241876,328,a a*,a b,a* b,b a,b b,b b* 
